Date,AAPL,AMZN,BRK-A,CVX,GOOG,JPM,MCD,META,MSFT,TSLA,XOM
2018-03,41.70780563354492,74.67250061035156,302946.0,90.07925415039062,53.47600173950195,97.91282653808594,138.40621948242188,175.94000244140625,87.62947845458984,22.062000274658203,57.96607971191406
2018-03,41.996185302734375,75.01249694824219,303100.0,89.75763702392578,53.94599914550781,97.81785583496094,131.80149841308594,176.6199951171875,87.8182373046875,22.341333389282227,58.235870361328125
2018-03,42.141571044921875,76.18049621582031,304500.0,90.97166442871094,54.54650115966797,99.31983947753906,134.25489807128906,180.39999389648438,88.37506103515625,22.22333335876465,58.79087829589844
2018-03,42.10580825805664,76.88200378417969,307005.0,91.37366485595703,54.75299835205078,99.40616607666016,134.40603637695312,179.77999877929688,88.07303619384766,21.8799991607666,58.72148895263672
2018-03,41.71495056152344,77.25,306756.0,91.52640533447266,55.481998443603516,99.03500366210938,135.4549560546875,183.7100067138672,88.58268737792969,22.15333366394043,57.24150848388672
2018-03,42.1701545715332,77.59300231933594,307700.0,91.1324462890625,56.29999923706055,99.0436019897461,137.28619384765625,182.33999633789062,89.12065124511719,21.940000534057617,57.13359451293945
2018-03,42.89468765258789,78.94450378417969,319600.0,94.2439193725586,58.00199890136719,101.89216613769531,139.77516174316406,185.22999572753906,91.11199188232422,21.81133270263672,57.47273635864258
2018-03,43.30937194824219,79.91950225830078,317746.0,93.89820098876953,58.224998474121094,101.56415557861328,140.21961975097656,184.75999450683594,91.32907104492188,23.034000396728516,57.99689865112305
2018-03,42.89230728149414,79.40899658203125,314039.0,93.63288116455078,56.90850067138672,100.34703826904297,140.64633178710938,181.8800048828125,89.10176849365234,22.78933334350586,57.44962692260742
2018-03,42.52766036987305,79.55000305175781,310655.0,92.56356811523438,57.4744987487793,99.2248764038086,140.6640625,184.19000244140625,88.57325744628906,21.775333404541016,56.73274612426758
2018-03,42.57769775390625,79.11599731445312,311601.0,92.92535400390625,57.479000091552734,99.47520446777344,143.6597900390625,183.86000061035156,88.88471221923828,21.706666946411133,57.364837646484375
2018-03,42.427555084228516,78.58399963378906,310630.0,92.78065490722656,56.7864990234375,99.6478500366211,144.32647705078125,185.08999633789062,89.28108215332031,21.42333221435547,57.90439987182617
